Gene Margin.Posterior.Prob
541 0
13737 0
18636 0
21765 0
12562 0.7
17631 0
4267 0
19038 0
11017 0
21358 0.1
16782 0.1
2692 0
11058 0
16035 0
23017 0
16382 0
18119 0
4075 0
22605 0
22607 0
12833 0.4
21265 0.1
14005 0
2667 0
2363 0.4
18277 0.5
18776 0
23565 0.5
15507 0.5
23899 0.4
13180 0
22486 0.1
22096 0
20762 0
18754 0.3
22393 0
13555 0.2
13091 0.2
20859 0
19019 0
11159 0
14475 0
22487 0.1
25047 0
20736 0
20791 0
14429 0.4
972 0
21533 0.5
802 0.6
16746 0
2364 0
1536 0
23900 0
19237 0
17624 0
4416 0
24261 0
2661 0
16261 1
11019 0
23568 0
248 0
16987 0
17261 0
2648 0
23344 0
12441 0
23057 0
22557 0
21580 0
4821 0
15520 0
4296 0
18660 0.3
17188 0
22035 0
11096 0
21272 0.1
13248 0.2
12658 0.1
974 0
19482 0.1
14136 0.6
15361 0.2
18162 0.4
19034 0.6
14525 0
19046 0.5
18745 0
14137 0
21751 0.7
15575 0
19064 0
12559 0
11629 0.1
3621 0.1
4426 0.3
12557 0.6
20722 0
2690 0
16089 0
21708 0
14458 0.6
21885 0
20721 0
21709 0
11718 0
19018 0.3
3945 0.3
2592 0
20863 0
13615 0
4641 0
4282 0
15442 0
11615 0
16957 0.2
4280 0
20267 0
16785 0
21386 0
2381 0
2379 0
16820 0
11982 0
2113 0
19883 0
11976 0
108 0.5
23901 0
12166 0
17325 0
15498 0
19908 0
2094 0
19632 0
19907 0
11775 0.4
14009 0
23918 0
18279 0
20764 0.9
18028 0
23919 0
12348 0
1301 0
11031 0
11767 0
11097 0
20655 0
21555 0
16633 0.3
2699 0
10986 0
19277 0
16594 0
19349 0
17524 0
2633 0.3
4525 0
17878 0
2332 0
18761 0.2
18160 0.1
15515 1
14017 0.4
23682 0
16651 0
1441 0
23747 0
23165 0
20850 0
20851 0
11996 0
18682 0
18606 0
2365 0.1
1407 0
11113 0
12561 0.4
16735 0.2
3110 0
4428 0
13827 0.7
18520 0
15409 0
19365 0.5
2673 0
16810 0
